['4', 'Ryzen Threadripper 7980X', 'desktop', 'AMD Socket sTR5', '84.18', '64 / 128', '2023', '350 W']
['16', 'Ryzen Threadripper 7970X', 'desktop', 'AMD Socket sTR5', '61.79', '32 / 64', '2023', '350 W']
['32', 'Ryzen Threadripper 7960X', 'desktop', 'AMD Socket sTR5', '52.37', '24 / 48', '2023', '350 W']
['40', 'Ryzen Threadripper 3990X', 'desktop', 'AMD Socket TR4', '49.86', '64 / 128', '2020', '280 W']
['60', 'Core Ultra 9 285K', 'desktop', 'FCLGA1851', '42.26', '24 / 24', '2024', '125 W']
['65', 'Ryzen 9 9950X', 'desktop', 'AMD Socket AM5', '41.49', '16 / 32', '2024', '170 W']
['72', 'Ryzen Threadripper 3970X', 'desktop', 'AMD Socket TR4', '39.39', '32 / 64', '2019', '280 W']
['73', 'Ryzen 9 7950X', 'desktop', 'AMD Socket AM5', '39.10', '16 / 32', '2022', '170 W']
['74', 'Ryzen 9 7950X3D', 'desktop', 'AMD Socket AM5', '39.01', '16 / 32', '2023', '120 W']
['80', 'Core i9-14900KS', 'desktop', 'FCLGA1700', '38.45', '24 / 32', '2024', '150 W']
['81', 'Core i9-13900KS', 'desktop', 'FCLGA1700', '38.27', '24 / 32', '2023', '150 W']
['88', 'Core i9-14900K', 'desktop', 'FCLGA1700', '37.10', '24 / 32', '2023', '125 W']
['91', 'Core i9-14900KF', 'desktop', 'FCLGA1700', '36.89', '24 / 32', '2023', '125 W']
['95', 'Core i9-13900K', 'desktop', 'FCLGA1700', '36.73', '24 / 32', '2022', '125 W']
['98', 'Core Ultra 7 265K', 'desktop', 'FCLGA1851', '36.64', '20 / 20', '2024', '125 W']
['99', 'Core Ultra 7 265KF', 'desktop', 'FCLGA1851', '36.62', '20 / 20', '2024', '125 W']
['103', 'Core i9-13900KF', 'desktop', 'FCLGA1700', '36.22', '24 / 32', '2022', '125 W']
['118', 'Ryzen 9 9900X', 'desktop', 'AMD Socket AM5', '34.24', '12 / 24', '2024', '120 W']
['119', 'Ryzen Threadripper 3960X', 'desktop', 'AMD Socket TR4', '34.24', '24 / 48', '2019', '280 W']
['124', 'Core Ultra 9 285', 'desktop', 'FCLGA1851', '33.59', '24 / 24', '2025', '125 W']
['125', 'Core i7-14700KF', 'desktop', 'FCLGA1700', '33.36', '20 / 28', '2023', '125 W']
['127', 'Core i7-14700K', 'desktop', 'FCLGA1700', '33.02', '20 / 28', '2023', '125 W']
['134', 'Ryzen 9 7900X', 'desktop', 'AMD Socket AM5', '32.16', '12 / 24', '2022', '170 W']
['138', 'Core i9-13900F', 'desktop', 'FCLGA1700', '31.58', '24 / 32', '2023', '65 W']
['140', 'Ryzen 9 7900X3D', 'desktop', 'AMD Socket AM5', '31.47', '12 / 24', '2023', '120 W']
['146', 'Ryzen 9 7900', 'desktop', 'AMD Socket AM5', '30.35', '12 / 24', '2023', '65 W']
['155', 'Core i9-14900F', 'desktop', 'FCLGA1700', '29.22', '24 / 32', '2024', '65 W']
['156', 'Core i9-14900', 'desktop', 'FCLGA1700', '29.14', '24 / 32', '2024', '65 W']
['158', 'Core Ultra 7 265', 'desktop', 'FCLGA1851', '29.10', '20 / 20', '2025', '65 W']
['159', 'Core i7-13700KF', 'desktop', 'FCLGA1700', '28.96', '16 / 24', '2022', '125 W']
['160', 'Core i7-13790F', 'desktop', 'Intel Socket 1700', '28.91', '16 / 24', '2023', '65 W']
['161', 'Core i9-13900', 'desktop', 'FCLGA1700', '28.88', '24 / 32', '2023', '125 W']
['162', 'Core i7-13700K', 'desktop', 'FCLGA1700', '28.82', '16 / 24', '2022', '125 W']
['169', 'Ryzen 9 5950X', 'desktop', 'AMD Socket AM4', '28.43', '16 / 32', '2020', '105 W']
['181', 'Core i9-12900KS', 'desktop', 'FCLGA1700', '27.40', '16 / 24', '2022', '150 W']
['184', 'Ryzen 9 5900XT', 'desktop', 'AMD Socket AM4', '27.31', '16 / 32', '2024', '105 W']
['188', 'Core Ultra 5 245KF', 'desktop', 'FCLGA1851', '27.21', '14 / 14', '2024', '125 W']
['189', 'Core Ultra 5 245K', 'desktop', 'FCLGA1851', '27.12', '14 / 14', '2024', '125 W']
['192', 'Core i9-13900T', 'desktop', 'FCLGA1700', '26.84', '24 / 32', '2023', '35 W']
['196', 'Core i7-14700F', 'desktop', 'FCLGA1700', '26.42', '20 / 28', '2024', '65 W']
['197', 'Core i7-14700', 'desktop', 'FCLGA1700', '26.37', '20 / 28', '2024', '65 W']
['202', 'Core i9-14900T', 'desktop', 'FCLGA1700', '25.84', '24 / 32', '2024', '35 W']
['203', 'Core i9-12900K', 'desktop', 'FCLGA1700', '25.83', '16 / 24', '2021', '125 W']
['206', 'Core i9-12900KF', 'desktop', 'FCLGA1700', '25.64', '16 / 24', '2021', '125 W']
['214', 'Ryzen 7 9800X3D', 'desktop', 'AMD Socket AM5', '25.01', '8 / 16', '2024', '120 W']
